-0.099,0.002,0.99
-0.242,-0.001,0.963
-0.197,-0.034,0.978
-0.075,0.007,0.98
-0.22,0.221,1.168
-0.144,-0.098,1.095
0.019,0.244,0.958
0.022,0.251,0.951
-0.183,0.093,1.019
-0.267,0.017,0.992
-0.076,0.146,0.979
0.164,0.478,1.084
-0.179,0.069,1.063
-0.592,-0.063,1.028
-0.376,-0.323,1.165
0.141,0.183,0.9
-0.011,-0.002,0.793
-0.252,0.006,0.936
-0.321,0.204,1.076
-0.205,0.15,1.157
-0.298,0.072,1.058
-0.041,-0.037,1.093
-0.033,-0.048,1.013
-0.041,-0.048,1.018
-0.043,-0.055,0.92
0.018,-0.061,0.751
0.02,-0.057,0.715
0.021,-0.026,0.688
0.015,-0.054,0.631
0.039,-0.102,0.567
0.105,-0.322,0.644
0.17,0.066,0.578
0.139,0.034,0.652
0.209,0.021,0.573
0.195,0.029,0.637
0.152,0.07,0.75
0.016,0.099,1.017
-0.105,0.154,1.43
-0.44,0.237,1.937
-0.255,0.101,1.687
-0.274,0.149,1.404
-0.319,0.148,1.352
-0.293,0.156,1.104
-0.22,0.121,0.742
-0.241,0.051,0.768
-0.131,0.071,0.779
-0.092,0.066,0.771
-0.007,0.029,0.687
0.099,0.014,0.649
0.195,-0.038,0.604
0.303,-0.03,0.512
0.345,-0.001,0.558
0.352,-0.01,0.571
0.312,-0.217,0.662
0.154,-0.064,0.837
-0.019,0.241,1.109
-0.548,-0.105,1.752
-0.708,-0.036,1.999
-0.627,-0.056,1.999
-0.386,0.086,1.542
-0.232,-0.095,0.786
-0.062,-0.047,0.469
-0.02,-0.105,0.521
-0.029,-0.048,0.618
-0.006,-0.03,0.643
0.008,0.005,0.649
0.014,-0.038,0.686
-0.039,0.077,0.557
0.024,0.034,0.786
0.179,0.13,0.757
0.14,0.063,0.771
0.179,-0.01,0.689
0.021,-0.023,1.07
-0.136,-0.053,1.568
-0.314,-0.097,1.999
-0.35,-0.046,1.999
-0.258,-0.021,1.5
-0.106,-0.112,0.84
-0.039,-0.198,0.6
0.015,0.023,0.56
0.081,-0.005,0.58
0.002,0.06,0.727
0.052,0.078,0.771
0.04,0.06,0.672
0.074,0.027,0.571
0.063,0.032,0.589
0.09,0.029,0.635
0.16,0.061,0.586
0.153,0.077,0.524
-0.334,0.099,1.057
0.063,0.061,1.68
-0.238,0.197,1.999
-0.284,0.123,1.999
-0.125,0.228,1.999
0.03,0.183,1.396
0.101,0.115,0.823
0.163,0.128,0.509
0.171,0.155,0.405
0.118,0.157,0.493
0.08,0.125,0.582
0.056,0.102,0.637
0.034,0.058,0.562
0.055,0.024,0.424
0.067,-0.003,0.394
0.07,-0.072,0.337
0.063,-0.147,0.265
-0.024,-0.119,0.468
-0.171,-0.066,1.274
-0.343,0.014,1.999
-0.468,0.015,1.999
-0.46,0.001,1.999
-0.378,-0.024,1.999
-0.21,-0.017,1.115
0.039,-0.03,0.175
0.12,0.043,0.043
0.096,0.02,0.176
0.043,0.067,0.396
0.013,0.047,0.507
-0.022,0.032,0.48
-0.054,-0.003,0.37
-0.056,-0.057,0.231
-0.066,-0.064,0.436
-0.206,-0.14,1.254
-0.336,-0.101,1.999
-0.333,-0.03,1.999
-0.246,-0.07,1.999
-0.08,-0.07,1.753
0.081,-0.078,0.995
0.238,-0.104,0.532
0.335,-0.14,0.377
0.363,-0.15,0.43
0.353,-0.1,0.494
0.278,-0.084,0.613
0.232,-0.141,0.643
0.186,-0.096,0.615
0.117,-0.078,0.572
0.014,-0.041,0.629
-0.079,0.002,0.643
-0.243,-0.012,0.812
-0.463,0.007,1.478
-0.671,-0.053,1.946
-0.651,0.061,1.999
-0.548,0.07,1.999
-0.255,0.054,1.812
0.009,-0.006,1.025
0.23,0.002,0.36
0.313,-0.024,0.15
0.294,-0.007,0.282
0.216,0.026,0.53
0.145,0.037,0.583
0.07,0.05,0.496
0.056,0.032,0.308
0.063,0.077,0.193
0.076,0.103,0.279
0.012,0.088,0.614
-0.082,0.056,1.078
-0.344,-0.037,1.819
-0.529,-0.109,1.999
-0.582,-0.121,1.999
-0.371,-0.017,1.999
-0.132,-0.036,1.346
0.089,-0.047,0.57
0.163,-0.132,0.21
0.207,-0.095,0.119
0.187,-0.045,0.277
0.158,-0.026,0.338
0.121,0.011,0.271
0.118,-0.004,0.182
0.104,0.035,0.282
0.098,0.037,0.478
0.037,0.074,0.742
-0.095,-0.079,1.03
-0.213,-0.151,1.386
-0.533,-0.312,1.999
-0.554,-0.012,1.999
-0.293,-0.03,1.999
-0.145,-0.022,1.74
0.043,0.011,1.043
0.097,-0.007,0.573
0.158,-0.017,0.35
0.16,-0.01,0.32
0.114,-0.006,0.419
0.072,0.027,0.479
0.032,0.024,0.486
0.027,0.049,0.365
-0.004,-0.021,0.171
-0.098,0.058,0.222
-0.426,0.116,0.865
-1.693,-0.994,1.999
-0.173,0.056,1.999
-0.091,-0.111,1.093
0.028,-0.227,1.081
0.022,-0.082,1.591
-0.112,-0.113,1.762
-0.029,-0.128,1.309
0.037,-0.136,0.735
0.082,-0.038,0.491
0.07,-0.043,0.5
0.04,-0.038,0.503
0.059,0.01,0.456
0.028,0.064,0.479
0.016,0.113,0.513
-0.017,0.1,0.523
-0.048,0.185,0.567
-0.294,-0.01,1.134
-0.311,0.06,1.603
-0.426,0.087,1.941
-0.25,0.539,1.408
-0.28,0.034,1.192
-0.177,0,0.798
-0.112,-0.051,0.851
-0.081,-0.101,0.84
-0.128,-0.077,0.975
-0.164,-0.104,1.03
-0.183,-0.066,1.052
-0.187,0.001,1.042
-0.184,-0.077,1.014
-0.255,-0.035,1.085
-0.104,-0.033,1.068
-0.086,0.02,0.975
-0.063,0.023,1.012
0.184,0.035,0.841
0.165,0.185,0.837
0.213,0.204,0.729
0.103,0.164,0.771
-0.004,-0.122,0.954
-0.122,-0.117,0.95
-0.187,-0.248,1.04
-0.262,-0.335,1.061
-0.209,-0.272,1
-0.053,-0.112,0.83
0.123,0.005,0.737
0.139,0.106,0.892
0.11,0.056,1.095
0.051,-0.01,1.155
-0.021,-0.089,1.118
-0.035,-0.071,1.06
-0.05,-0.13,1.013
-0.109,-0.208,0.951
-0.091,-0.2,0.911
-0.01,-0.164,0.958
0.022,-0.138,0.986
0.055,-0.081,0.974
0.106,-0.021,0.893
0.107,0.02,0.874
0.086,0.081,1.018
0.056,0.056,0.978
0.061,0.066,0.994
0.046,0.064,0.991
0.001,0.01,1.049
-0.033,0.01,1.08
0.572,0.037,0.335
-0.002,0.18,0.937
0.017,-0.018,1.173
-0.258,-0.608,1.157
-0.152,-0.256,0.855
0.104,-0.056,0.666
-0.046,0.318,1.094
0.05,0.159,1.195
0.04,0.259,1.007
-0.034,0.245,0.843
0.012,-0.097,0.657
-0.265,-0.167,0.881
-0.094,0.189,0.786
0.077,0.139,0.817
-0.139,-0.116,0.925
-0.009,0.078,0.885
0.096,0.254,0.795
-0.003,0.228,0.875
0.373,-0.646,0.982
-0.37,0.287,1.486
0.044,-0.199,0.679
0.212,0.171,0.856
-0.613,0.607,0.461
0.058,-0.106,1.165
0.121,0.083,0.992
-0.081,0.201,1.586
-0.172,0.561,0.914
0.111,0.223,0.442
-0.208,-0.339,1.363
-0.087,0.023,1.099
-0.095,-0.028,1.035
-0.154,0.117,0.969
-0.133,-0.152,0.974